Id,SalePrice
1461,116203.0
1462,184785.0
1463,181479.0
1464,205622.0
1465,204210.0
1466,185472.0
1467,187331.0
1468,173636.0
1469,202519.0
1470,120029.0
1471,213505.0
1472,100727.0
1473,86650.1
1474,156056.0
1475,123176.0
1476,360738.0
1477,235747.0
1478,297558.0
1479,274376.0
1480,490860.0
1481,318836.0
1482,211650.0
1483,172454.0
1484,175466.0
1485,178474.0
1486,200870.0
1487,369290.0
1488,244589.0
1489,181252.0
1490,241497.0
1491,198149.0
1492,97680.1
1493,190786.0
1494,269828.0
1495,278865.0
1496,247888.0
1497,173257.0
1498,169107.0
1499,163950.0
1500,145352.0
1501,178945.0
1502,146061.0
1503,324739.0
1504,246327.0
1505,224951.0
1506,207982.0
1507,261861.0
1508,212417.0
1509,160810.0
1510,147402.0
1511,152739.0
1512,179516.0
1513,168976.0
1514,163136.0
1515,194007.0
1516,173803.0
1517,164860.0
1518,133411.0
1519,221811.0
1520,123439.0
1521,125481.0
1522,197202.0
1523,93989.4
1524,120038.0
1525,110422.0
1526,115375.0
1527,95203.9
1528,129430.0
1529,153843.0
1530,209187.0
1531,141029.0
1532,104740.0
1533,173299.0
1534,132888.0
1535,143459.0
1536,101039.0
1537,62280.0
1538,198184.0
1539,234644.0
1540,131979.0
1541,177971.0
1542,140797.0
1543,192276.0
1544,75603.3
1545,118303.0
1546,126235.0
1547,128433.0
1548,138997.0
1549,116660.0
1550,135016.0
1551,146570.0
1552,141415.0
1553,166933.0
1554,124502.0
1555,166176.0
1556,88998.2
1557,118921.0
1558,118246.0
1559,95021.3
1560,141143.0
1561,94312.2
1562,120801.0
1563,127014.0
1564,159559.0
1565,144512.0
1566,243071.0
1567,87511.1
1568,245558.0
1569,123131.0
1570,138478.0
1571,97316.6
1572,146916.0
1573,255152.0
1574,156851.0
1575,202583.0
1576,259062.0
1577,177637.0
1578,178641.0
1579,141706.0
1580,206848.0
1581,151547.0
1582,126220.0
1583,310484.0
1584,232969.0
1585,142581.0
1586,69351.0
1587,129621.0
1588,150729.0
1589,118143.0
1590,135712.0
1591,91344.7
1592,128765.0
1593,125372.0
1594,118489.0
1595,113877.0
1596,221144.0
1597,194250.0
1598,190656.0
1599,189703.0
1600,195478.0
1601,65084.4
1602,131982.0
1603,88802.0
1604,278828.0
1605,261621.0
1606,170598.0
1607,193280.0
1608,216891.0
1609,171901.0
1610,138737.0
1611,143126.0
1612,170637.0
1613,167806.0
1614,135161.0
1615,93216.8
1616,78526.9
1617,83891.2
1618,124610.0
1619,136074.0
1620,220341.0
1621,127993.0
1622,140248.0
1623,286210.0
1624,231652.0
1625,142124.0
1626,168332.0
1627,203475.0
1628,273010.0
1629,175838.0
1630,337952.0
1631,220210.0
1632,225189.0
1633,166113.0
1634,189240.0
1635,175215.0
1636,148709.0
1637,206447.0
1638,192053.0
1639,193054.0
1640,240501.0
1641,196188.0
1642,233794.0
1643,216369.0
1644,219341.0
1645,219754.0
1646,170959.0
1647,174087.0
1648,141780.0
1649,130682.0
1650,113061.0
1651,106823.0
1652,93286.4
1653,101685.0
1654,150177.0
1655,149048.0
1656,149792.0
1657,133862.0
1658,148391.0
1659,127218.0
1660,148404.0
1661,450423.0
1662,347478.0
1663,359279.0
1664,442688.0
1665,303402.0
1666,325340.0
1667,357005.0
1668,349282.0
1669,312989.0
1670,337310.0
1671,254554.0
1672,405151.0
1673,308896.0
1674,246817.0
1675,195609.0
1676,206292.0
1677,210438.0
1678,443519.0
1679,376455.0
1680,305691.0
1681,242301.0
1682,296595.0
1683,184055.0
1684,168560.0
1685,177407.0
1686,173612.0
1687,161870.0
1688,194930.0
1689,201547.0
1690,201926.0
1691,187142.0
1692,273084.0
1693,154673.0
1694,190794.0
1695,158147.0
1696,265217.0
1697,173769.0
1698,338272.0
1699,315706.0
1700,253713.0
1701,256838.0
1702,245819.0
1703,254580.0
1704,285657.0
1705,252861.0
1706,376353.0
1707,215843.0
1708,196759.0
1709,281422.0
1710,222199.0
1711,283113.0
1712,255104.0
1713,270460.0
1714,216394.0
1715,197990.0
1716,180810.0
1717,162509.0
1718,125935.0
1719,207604.0
1720,219544.0
1721,164130.0
1722,109150.0
1723,152147.0
1724,202252.0
1725,232209.0
1726,173523.0
1727,152014.0
1728,163353.0
1729,157630.0
1730,144319.0
1731,127208.0
1732,150944.0
1733,118774.0
1734,147266.0
1735,117333.0
1736,95225.3
1737,352497.0
1738,226244.0
1739,271376.0
1740,233995.0
1741,195155.0
1742,160251.0
1743,173180.0
1744,347282.0
1745,205641.0
1746,226083.0
1747,232197.0
1748,233754.0
1749,160817.0
1750,141444.0
1751,252090.0
1752,108615.0
1753,171501.0
1754,235582.0
1755,177934.0
1756,128923.0
1757,114204.0
1758,141214.0
1759,174266.0
1760,155138.0
1761,170543.0
1762,180768.0
1763,179236.0
1764,110411.0
1765,175463.0
1766,213885.0
1767,239332.0
1768,135749.0
1769,181853.0
1770,159628.0
1771,126833.0
1772,125190.0
1773,106682.0
1774,152157.0
1775,146938.0
1776,123106.0
1777,119338.0
1778,142868.0
1779,123655.0
1780,186790.0
1781,123134.0
1782,79714.4
1783,138748.0
1784,109411.0
1785,122867.0
1786,123289.0
1787,166757.0
1788,52663.5
1789,103413.0
1790,76903.9
1791,233084.0
1792,158706.0
1793,146347.0
1794,171690.0
1795,140351.0
1796,109743.0
1797,147018.0
1798,108003.0
1799,120907.0
1800,110673.0
1801,116046.0
1802,127501.0
1803,161428.0
1804,136851.0
1805,140756.0
1806,132491.0
1807,170470.0
1808,123806.0
1809,132941.0
1810,149282.0
1811,108400.0
1812,114933.0
1813,123012.0
1814,116326.0
1815,43393.5
1816,112008.0
1817,117648.0
1818,195657.0
1819,133785.0
1820,70318.6
1821,135856.0
1822,149536.0
1823,66046.1
1824,134775.0
1825,125507.0
1826,92446.2
1827,104571.0
1828,103069.0
1829,134240.0
1830,176602.0
1831,167012.0
1832,89065.6
1833,146853.0
1834,133669.0
1835,163679.0
1836,132198.0
1837,95843.1
1838,138616.0
1839,109305.0
1840,150474.0
1841,133204.0
1842,96265.2
1843,143396.0
1844,111661.0
1845,116306.0
1846,154009.0
1847,164946.0
1848,23251.1
1849,105632.0
1850,112939.0
1851,159869.0
1852,105804.0
1853,128161.0
1854,173676.0
1855,142455.0
1856,230975.0
1857,159736.0
1858,116341.0
1859,101879.0
1860,124930.0
1861,106712.0
1862,332135.0
1863,326645.0
1864,326665.0
1865,353814.0
1866,332134.0
1867,245175.0
1868,300205.0
1869,216392.0
1870,244935.0
1871,261942.0
1872,182340.0
1873,249548.0
1874,148013.0
1875,221179.0
1876,208842.0
1877,213470.0
1878,228004.0
1879,118573.0
1880,139744.0
1881,268722.0
1882,254681.0
1883,191260.0
1884,199890.0
1885,252500.0
1886,275372.0
1887,228457.0
1888,288337.0
1889,168260.0
1890,115358.0
1891,118760.0
1892,88067.8
1893,151124.0
1894,119128.0
1895,146015.0
1896,125671.0
1897,114413.0
1898,127770.0
1899,143004.0
1900,168910.0
1901,165620.0
1902,157779.0
1903,227818.0
1904,143280.0
1905,189435.0
1906,138517.0
1907,206802.0
1908,99024.4
